Movie,Year,Certificate,Genre,Overview,Runtime,Rating,ratings_count
HIT,2020,UA,"Crime, Drama, Mystery","Vikram is a 30-year-old cop. While he is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.",125,7.8,2327
Nota,2018,A,Drama,A bachelor who is unaware of the political world is appointed a Chief Minister when his corrupt father retires.,145,6.4,2309
U Turn,2018,UA,"Mystery, Thriller",The plot revolves around the death of motorists who break a traffic rule at a particular flyover in Hyderabad and the subsequent pinning down of the culprit by an intern journalist and police inspector duo.,128,7.0,2307
Thammudu,1999,U,"Action, Drama, Sport","An aimless student is banished from his home by his father. When his brother, a boxing champion, gets injured, the student must step up and take his brother's place.",160,7.8,2279
Zanjeer,2013,UA,"Action, Drama",ACP Vijay Khanna is transferred to Mumbai where he will have do deal with the oil mafia led by Rudra Pratap Teja.,137,3.2,2249
Ezra,2017,U,"Horror, Mystery, Thriller","A newly married woman brings an antique Jewish box into her home, unaware that the box contains the ghost of Abraham Ezra.",147,6.7,2243
Bhaagamathie,2018,UA,"Action, Horror, Thriller","IAS officer Chanchala Reddy is imprisoned in a haunted house, while she is interrogated by law enforcers investigating a politician they suspect of corruption.",138,7.0,2217
Adhurs,2010,UA,"Action, Comedy, Thriller",Male twins are separated at birth and live their lives in different backgrounds - until one gets abducted.,150,6.7,2196
Aditya 369,1991,U,"Family, Sci-Fi, Adventure","A group of children use a time machine to investigate a robbery. The protagonist couple, in their attempt to rescue the kids, get stuck in the machine and travel all the way back to the ...                See full summary »",140,8.4,2179
Sardaar Gabbar Singh,2016,UA,"Action, Comedy",A kingdom called Rathanpur was taken ruthlessly by a feudal lord named Bhairav Singh. The princess of that empire was in a hopeless situation until a maverick cop named Sardaar Gabbar Singh came along.,164,4.8,2178
Gitanjali,1989,UA,"Drama, Romance","On a fog swept chilly hill station, a terminally ill young man (Prakash) meets a boisterous girl (gitanjali). Love blossoms, but there's a shadow behind the light she radiates.",150,8.2,2176
Ninnu Kori,2017,U,"Comedy, Romance","Two lovers, Pallavi and Uma get separated by circumstances, but reconnect years later, when Pallavi is happily married to someone else.",137,7.6,2166
Indra,2002,U,"Action, Drama","Since 1965 bitter hatred and animosity has reigned between two families, namely that of Indrasen's and the Reddys, which results in the death of Indrasen's dad, and his two uncles, one of ...                See full summary »",173,7.4,2129
Oru Adaar Love,2019,UA,"Comedy, Romance","The movie depicts the life and times of a group of schoolmates who are best buddies. As they journey through the most memorable times of their lives, lasting friendships are forged and extraordinary tales of romance blossom.",145,5.5,2059
Brochevarevarura,2019,U,Comedy,"This is the story of 'R3 batch' consisting of Rocky, Rambo and Rahul, three friends who keep failing every year and are stuck with studying inter.",138,8.0,2053
7/G Rainbow Colony,2004,A,"Drama, Romance",A neighborhood good-for-nothing attempts to romance the new girl in town.,185,7.8,2042
Tagore,2003,U,"Action, Drama","Ravindranath Tagore, a physics professor, forms the ACF [Anti Corruption Force] along with his former students to take on corruption in society.",175,7.8,2032
Gang Leader,2019,UA,"Action, Comedy","Nani plays the gang leader of five women belonging to different age groups, helping them to plot revenge.",155,7.6,2027
Bujjigaadu: Made in Chennai,2008,A,"Action, Drama","Bujji (Prabhas) runs away from his home in his childhood because of a dispute with his girlfriend Chitti (Trisha). He ends up in Chennai for 12 years, and the rest of the story is about how they meet now to make their love successful.",150,6.4,1970
Sye,2004,A,"Action, Drama, Sport",Students of a college form a Rugby team and play against a violent gang of thugs to get back their college land.,167,7.4,1961
Yevade Subramanyam,2015,U,"Adventure, Comedy, Drama",A man who is overly focused on long-term career goals is exposed to the opposite attitude in a friend who believes in living life to the fullest rather than sacrificing present joy for future success.,150,7.6,1944
Mathu Vadalara,2019,UA,"Comedy, Crime, Thriller","Simha is a courier delivery boy who gets peanuts as salary despite putting in a lot of hard work. As Babu gets frustrated with his job, his friend and roommate Satya shows him how to get '...                See full summary »",130,8.3,1935
Katamarayudu,2017,UA,"Action, Comedy",A man with a violent streak is trying to reform but gets pushed into a situation where he has to take action.,146,5.7,1933
Maari 2,2018,UA,"Action, Comedy","Gangster Maari squares off against Beeja, a hardened criminal who considers himself to be the God of death.",143,5.6,1925
Gautamiputra Satakarni,2017,UA,"Action, History",This movie chronicles the life of a South Indian ruler of the Satavahana Empire in South India in the 2nd century CE.,131,6.5,1909
Rx 100,2018,A,"Action, Drama, Romance","Believing his girlfriend loves him even after being married, a man waits for her return and in the process ignites violence.",153,6.9,1897
A... Aa,2016,U,"Comedy, Romance",Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship.,152,6.8,1892
Aalavandhan,2001,A,"Action, Thriller","A psychopath tries to protect his twin brother from a lady he visualizes as his evil stepmother, and eventually ends up fighting with him.",177,7.1,1891
F2: Fun and Frustration,2019,UA,Comedy,"After Venky, Varun also gets married thinking he can keep the wife in control but both of them get frustrated with the marital life which generates fun.",148,6.2,1878
